violator_name,mine_name,total_penalties,num_violations,iss_year,accident_label_t_plus_1
Jim Walter Resources Inc,No 5 Mine,0,119,1/1/1982,0
Jim Walter Resources Inc,No 5 Mine,0,103,1/1/1983,0
Jim Walter Resources Inc,No 5 Mine,0,339,1/1/1984,0
Jim Walter Resources Inc,No 5 Mine,0,355,1/1/1985,0
Jim Walter Resources Inc,No 5 Mine,0,302,1/1/1986,0
Jim Walter Resources Inc,No 5 Mine,0,371,1/1/1987,0
Jim Walter Resources Inc,No 5 Mine,0,380,1/1/1988,0
Jim Walter Resources Inc,No 5 Mine,0,288,1/1/1989,0
Jim Walter Resources Inc,No 5 Mine,0,309,1/1/1990,0
Jim Walter Resources Inc,No 5 Mine,0,417,1/1/1991,0
Jim Walter Resources Inc,No 5 Mine,0,365,1/1/1992,0
Jim Walter Resources Inc,No 5 Mine,0,466,1/1/1993,0
Jim Walter Resources Inc,No 5 Mine,0,499,1/1/1994,1
Jim Walter Resources Inc,No 5 Mine,147793,505,1/1/1995,1
Jim Walter Resources Inc,No 5 Mine,107551,333,1/1/1996,0
Jim Walter Resources Inc,No 5 Mine,46053,284,1/1/1997,0
Jim Walter Resources Inc,No 5 Mine,59704,382,1/1/1998,1
Jim Walter Resources Inc,No 5 Mine,109738,604,1/1/1999,0
Jim Walter Resources Inc,No 5 Mine,82072,524,1/1/2000,1
Jim Walter Resources Inc,No 5 Mine,104938,426,1/1/2001,0
Jim Walter Resources Inc,No 5 Mine,76472,483,1/1/2002,0
Jim Walter Resources Inc,No 5 Mine,55053.1,457,1/1/2003,0
Jim Walter Resources Inc,No 5 Mine,96624,405,1/1/2004,0
Jim Walter Resources Inc,No 5 Mine,70762.2,282,1/1/2005,0
Wolf Run Mining Company,Sago Mine,1910,29,1/1/2002,0
Wolf Run Mining Company,Sago Mine,9575,68,1/1/2004,0
Wolf Run Mining Company,Sago Mine,95726,205,1/1/2005,0
Wolf Run Mining Company,Sago Mine,141642,95,1/1/2007,0
Wolf Run Mining Company,Sago Mine,12566,48,1/1/2008,0
Kentucky Darby Llc,Darby Mine No 1,1480,15,1/1/2001,0
Kentucky Darby Llc,Darby Mine No 1,4281,51,1/1/2002,0
Kentucky Darby Llc,Darby Mine No 1,4836,55,1/1/2004,0
Kentucky Darby Llc,Darby Mine No 1,7116,71,1/1/2005,0
Kentucky Darby Llc,Darby Mine No 1,47314,93,1/1/2006,1
Genwal Resources Inc,Crandall Canyon Mine,6292,50,1/1/1995,0
Genwal Resources Inc,Crandall Canyon Mine,6537,90,1/1/1996,0
Genwal Resources Inc,Crandall Canyon Mine,7084,71,1/1/1997,0
Genwal Resources Inc,Crandall Canyon Mine,13754,117,1/1/1998,0
Genwal Resources Inc,Crandall Canyon Mine,11424,102,1/1/1999,0
Genwal Resources Inc,Crandall Canyon Mine,14195,69,1/1/2000,0
Genwal Resources Inc,Crandall Canyon Mine,19167,71,1/1/2001,0
Genwal Resources Inc,Crandall Canyon Mine,5764,52,1/1/2002,0
Genwal Resources Inc,Crandall Canyon Mine,38323,157,1/1/2003,0
Genwal Resources Inc,Crandall Canyon Mine,83741,138,1/1/2004,0
Genwal Resources Inc,Crandall Canyon Mine,22334,69,1/1/2005,0
Genwal Resources Inc,Crandall Canyon Mine,43956,81,1/1/2006,0
Genwal Resources Inc,Crandall Canyon Mine,25266.3,32,1/1/2007,1
Massey Energy Company,Upper Big Branch Mine-South,5456,59,1/1/1995,0
Massey Energy Company,Upper Big Branch Mine-South,19851,141,1/1/1996,0
Massey Energy Company,Upper Big Branch Mine-South,20984,149,1/1/1997,0
Massey Energy Company,Upper Big Branch Mine-South,54805,169,1/1/1998,0
Massey Energy Company,Upper Big Branch Mine-South,22948,112,1/1/1999,0
Massey Energy Company,Upper Big Branch Mine-South,44913,141,1/1/2001,0
Massey Energy Company,Upper Big Branch Mine-South,60806,201,1/1/2002,0
Massey Energy Company,Upper Big Branch Mine-South,41040.1,166,1/1/2003,0
Massey Energy Company,Upper Big Branch Mine-South,47341,222,1/1/2004,0
Massey Energy Company,Upper Big Branch Mine-South,27889,127,1/1/2005,1
Massey Energy Company,Upper Big Branch Mine-South,179614,161,1/1/2006,1
Massey Energy Company,Upper Big Branch Mine-South,232663,264,1/1/2007,1
Massey Energy Company,Upper Big Branch Mine-South,225869,186,1/1/2008,1
Massey Energy Company,Upper Big Branch Mine-South,888773,498,1/1/2009,1
Massey Energy Company,Upper Big Branch Mine-South,10719626,364,1/1/2011,1
