"","gvkey","fyear","rankindex","annual_rank_index"
"1","001004",1989,1.6,NA
"2","001004",1990,1.6,NA
"3","001004",1991,2.4,NA
"4","001004",1992,3.2,NA
"5","001004",1993,4.6,NA
"6","001004",1994,4.6,8
"7","001004",1995,5.4,NA
"8","001004",1996,5,4
"9","001004",1997,4.8,4
"10","001004",1998,5,7
"11","001004",1999,5,8
"12","001004",2000,4.8,4
"13","001004",2001,5.2,2
"14","001004",2002,5.8,3
"15","001004",2003,5.6,8
"16","001004",2004,5,8
"17","001004",2005,4.4,3
"18","001004",2006,3.6,4
"19","001004",2007,2.4,6
"20","001004",2008,1,7
"21","001004",2009,NA,5
"22","001013",2008,NA,0
"23","001013",2009,NA,0
"24","001034",1989,0.4,NA
"25","001034",1990,1,NA
"26","001034",1991,2.2,NA
"27","001034",1992,3.4,NA
"28","001034",1993,4,NA
"29","001034",1994,4.4,2
"30","001034",1995,4.2,3
"31","001034",1996,4.4,6
"32","001034",1997,3.8,6
"33","001034",1998,3.6,3
"34","001034",1999,4.6,4
"35","001034",2000,5.8,2
"36","001034",2001,5,7
"37","001034",2002,5.6,3
"38","001034",2003,6.5,2
"39","001034",2004,5.66666666666667,9
"40","001034",2005,4.5,8
"41","001034",2006,6,3
"42","001034",2007,NA,6
"43","001038",1989,0.6,NA
"44","001038",1990,1,NA
"45","001038",1991,1.4,NA
"46","001038",1992,1.8,NA
"47","001038",1993,2.4,NA
"48","001038",1994,2.4,3
"49","001038",1995,2.4,2
"50","001038",1996,2.6,2
"51","001038",1997,3,2
"52","001038",1998,3,3
"53","001038",1999,3,3
"54","001038",2000,3.33333333333333,2
"55","001038",2001,3.5,3
"56","001038",2002,3,4
"57","001038",2003,NA,3
"58","001045",1989,1.2,NA
"59","001045",1990,2.4,NA
"60","001045",1991,4.2,NA
"61","001045",1992,6,NA
"62","001045",1993,7.8,NA
"63","001045",1994,8.4,6
"64","001045",1995,9,6
"65","001045",1996,9,9
"66","001045",1997,9,9
"67","001045",1998,9,9
"68","001045",1999,9,9
"69","001045",2000,9,9
"70","001045",2001,9,9
"71","001045",2002,9,9
"72","001045",2003,9,9
"73","001045",2004,9,9
"74","001045",2005,8.6,9
"75","001045",2006,8.2,9
"76","001045",2007,6.4,9
"77","001045",2008,4.6,9
"78","001045",2009,3.5,9
"79","001045",2010,2.33333333333333,7
"80","001045",2011,NA,7
"81","001050",1990,0.6,NA
"82","001050",1991,0.6,NA
"83","001050",1992,0.6,NA
"84","001050",1993,0.6,NA
"85","001050",1994,0.6,NA
"86","001050",1995,NA,3
"87","001050",2000,NA,0
"88","001050",2002,0.6,NA
"89","001050",2003,2,NA
"90","001050",2004,2.6,NA
"91","001050",2005,2.6,0
"92","001050",2006,2.6,0
"93","001050",2007,2,3
"94","001050",2008,0.6,7
"95","001050",2009,NA,3
"96","001050",2010,NA,0
"97","001072",1994,NA,2
"98","001072",1996,NA,5
"99","001072",1997,NA,6
"100","001072",1998,NA,2
"101","001072",1999,NA,2
"102","001072",2000,NA,3
"103","001072",2001,NA,6
"104","001072",2002,NA,8
"105","001072",2003,NA,2
"106","001072",2004,NA,0
"107","001072",2005,NA,6
"108","001072",2006,NA,9
"109","001072",2007,NA,6
"110","001072",2008,NA,6
"111","001072",2009,NA,3
"112","001072",2010,NA,2
"113","001072",2011,NA,3
"114","001075",1989,1.2,NA
"115","001075",1990,2.4,NA
"116","001075",1991,2.4,NA
"117","001075",1992,2.4,NA
"118","001075",1993,2.4,NA
"119","001075",1994,1.2,6
"120","001075",1995,1,6
"121","001075",1996,1,NA
"122","001075",1997,1,NA
"123","001075",1998,1,NA
"124","001075",1999,1.8,0
"125","001075",2000,2,5
"126","001075",2001,2,0
"127","001075",2002,2,0
"128","001075",2003,2,0
"129","001075",2004,1.2,4
"130","001075",2005,1.4,6
"131","001075",2006,1.4,NA
"132","001075",2007,1.4,NA
"133","001075",2008,1.4,0
"134","001075",2009,1.75,0
"135","001075",2010,NA,7
"136","001075",2011,NA,0
"137","001078",2009,NA,0
"138","001082",1989,0.6,NA
"139","001082",1990,1.2,NA
"140","001082",1991,2.2,NA
"141","001082",1992,2.8,NA
"142","001082",1993,3.6,NA
"143","001082",1994,3.8,3
"144","001082",1995,3.6,3
"145","001082",1996,2.6,5
"146","001082",1997,2,3
"147","001082",1998,1.6,4
"148","001082",1999,1.4,4
"149","001082",2000,1,2
"150","001082",2001,1,NA
"151","001082",2002,1,NA
"152","001082",2003,0.6,2
"153","001082",2004,NA,3
"154","001082",2007,NA,0
"155","001082",2008,NA,0
"156","001082",2009,NA,0
"157","001082",2010,NA,0
"158","001084",2008,NA,0
"159","001084",2009,NA,0
"160","001084",2010,NA,0
"161","001084",2011,NA,0
"162","001094",2000,1.4,NA
"163","001094",2001,1.4,NA
"164","001094",2002,1.4,NA
"165","001094",2003,2.6,NA
"166","001094",2004,2.6,NA
"167","001094",2005,1.2,7
"168","001094",2006,1.2,0
"169","001094",2007,1.2,NA
"170","001094",2008,NA,6
"171","001095",1989,1,NA
"172","001095",1990,1.6,NA
"173","001095",1991,2,NA
"174","001095",1992,2.6,NA
"175","001095",1993,3.6,NA
"176","001095",1994,3.6,5
"177","001095",1995,3.8,3
"178","001095",1996,4.6,2
"179","001095",1997,5,3
"180","001095",1998,5,5
"181","001095",1999,5,5
"182","001095",2000,6,4
"183","001095",2001,NA,6
"184","001096",1994,NA,3
"185","001096",1995,NA,3
"186","001096",1996,NA,3
"187","001096",1997,NA,5
"188","001096",1998,NA,5
"189","001096",2002,NA,3
"190","001104",1994,NA,0
"191","001104",1996,0.4,0
"192","001104",1997,0.4,NA
"193","001104",1998,0.4,0
"194","001104",1999,0.4,NA
"195","001104",2000,0.4,NA
"196","001104",2001,NA,2
"197","001104",2002,NA,0
"198","001104",2004,0.6,NA
"199","001104",2005,0.6,NA
"200","001104",2006,0.6,NA
"201","001104",2007,0.6,NA
"202","001104",2008,0.6,NA
"203","001104",2009,NA,3
"204","001108",1989,1.2,NA
"205","001108",1990,2.6,NA
"206","001108",1991,4,NA
"207","001108",1992,5.4,NA
"208","001108",1993,6.75,NA
"209","001108",1994,7,6
"210","001108",1995,7,7
"211","001108",1996,7,7
"212","001108",1997,NA,7
"213","001111",1989,1,NA
"214","001111",1990,1.8,NA
"215","001111",1991,2.25,NA
"216","001111",1992,3,NA
"217","001111",1993,4.5,NA
"218","001111",1994,4,5
"219","001111",1995,NA,4
"220","001111",1996,NA,3
"221","001111",1997,NA,3
"222","001111",1998,NA,3
"223","001111",1999,NA,2
"224","001111",2000,NA,2
"225","001111",2001,NA,3
"226","001111",2002,NA,3
"227","001111",2003,NA,3
"228","001111",2004,NA,3
"229","001111",2005,NA,4
"230","001111",2006,NA,4
"231","001111",2007,NA,3
"232","001117",1991,0.8,NA
"233","001117",1992,1.4,NA
"234","001117",1993,1.4,NA
"235","001117",1994,1.4,NA
"236","001117",1995,1.4,NA
"237","001117",1996,1.8,4
"238","001117",1997,1.2,3
"239","001117",1998,1.2,0
"240","001117",1999,1.2,NA
"241","001117",2000,1.2,NA
"242","001117",2001,NA,6
"243","001117",2003,0.6,NA
"244","001117",2004,0.6,NA
"245","001117",2005,0.6,0
"246","001117",2006,1.4,NA
"247","001117",2007,1.4,NA
"248","001117",2008,0.8,3
"249","001117",2009,1,0
"250","001117",2010,1.33333333333333,NA
"251","001117",2011,NA,4
"252","001137",1989,1.2,NA
"253","001137",1990,1.5,NA
"254","001137",1991,2,NA
"255","001137",1992,3,NA
"256","001137",1993,6,NA
"257","001137",1994,NA,6
"258","001161",1991,0.6,NA
"259","001161",1992,1.2,NA
"260","001161",1993,2,NA
"261","001161",1994,2,NA
"262","001161",1995,2,0
"263","001161",1996,1.4,3
"264","001161",1997,0.8,3
"265","001161",1998,NA,4
"266","001161",2000,1,NA
"267","001161",2001,1,NA
"268","001161",2002,1,0
"269","001161",2003,1,NA
"270","001161",2004,1,0
"271","001161",2005,NA,5
"272","001161",2008,NA,0
"273","001161",2009,NA,0
"274","001164",1991,1,NA
"275","001164",1992,2.6,NA
"276","001164",1993,4.4,NA
"277","001164",1994,5,0
"278","001164",1995,6.25,NA
"279","001164",1996,6.66666666666667,5
"280","001164",1997,6.33333333333333,8
"281","001164",1998,4.33333333333333,9
"282","001164",1999,5.33333333333333,3
"283","001164",2002,4.5,7
"284","001164",2003,6,3
"285","001164",2004,NA,6
"286","001166",2008,NA,0
"287","001166",2009,NA,0
"288","001166",2010,NA,0
"289","001173",1992,0.4,NA
"290","001173",1993,0.4,NA
"291","001173",1994,0.4,NA
"292","001173",1995,0.4,NA
"293","001173",1996,0.4,NA
"294","001173",1997,NA,2
"295","001173",1998,0.6,NA
"296","001173",1999,0.6,NA
"297","001173",2000,0.6,0
"298","001173",2001,1.2,NA
"299","001173",2002,1.2,0
"300","001173",2003,0.6,3
"301","001173",2004,0.6,NA
"302","001173",2005,0.6,NA
"303","001173",2006,NA,3
"304","001173",2008,NA,0
"305","001173",2009,NA,0
"306","001189",1994,NA,3
"307","001189",1995,NA,3
"308","001189",1996,NA,3
"309","001189",1997,NA,3
"310","001189",1998,NA,3
"311","001203",1989,0.6,NA
"312","001203",1990,0.6,NA
"313","001203",1991,0.6,NA
"314","001203",1992,0.6,NA
"315","001203",1993,0.6,NA
"316","001203",1994,NA,3
"317","001203",1996,NA,0
"318","001203",1997,NA,0
"319","001210",1992,0.6,NA
"320","001210",1993,1.2,NA
