"violator_name","mine_name","total_penalties","num_violations","iss_year"
"Agapito Associates Inc","Crandall Canyon Mine",100000,1,2008
"Castle Blast N Vac Inc","Crandall Canyon Mine",281,1,1998
"Cox Transport Corp","Crandall Canyon Mine",NULL,6,1984
"Cox Transport Corp","Crandall Canyon Mine",NULL,9,1994
"Cox Transport Corp","Crandall Canyon Mine",50,1,1996
"Cox Transport Corp","Crandall Canyon Mine",380,7,1998
"Cox Transport Corp","Crandall Canyon Mine",891,13,1999
"F & H Mine Supply","Crandall Canyon Mine",113,1,2002
"F & H Mine Supply","Crandall Canyon Mine",349,4,2003
"Genwal Coal Company Inc","Crandall Canyon Mine",NULL,3,1983
"Genwal Coal Company Inc","Crandall Canyon Mine",NULL,105,1984
"Genwal Coal Company Inc","Crandall Canyon Mine",NULL,153,1985
"Genwal Coal Company Inc","Crandall Canyon Mine",NULL,77,1986
"Genwal Coal Company Inc","Crandall Canyon Mine",NULL,109,1987
"Genwal Coal Company Inc","Crandall Canyon Mine",NULL,80,1988
"Genwal Coal Company Inc","Crandall Canyon Mine",NULL,99,1989
"Genwal Coal Company Inc","Crandall Canyon Mine",NULL,92,1990
"Genwal Coal Company Inc","Crandall Canyon Mine",NULL,66,1991
"Genwal Coal Company Inc","Crandall Canyon Mine",NULL,42,1992
"Genwal Coal Company Inc","Crandall Canyon Mine",NULL,86,1993
"Genwal Coal Company Inc","Crandall Canyon Mine",NULL,42,1994
"Genwal Coal Company Inc","Crandall Canyon Mine",1240,10,1995
"Genwal Resources Inc","Crandall Canyon Mine",6292,50,1995
"Genwal Resources Inc","Crandall Canyon Mine",6537,90,1996
"Genwal Resources Inc","Crandall Canyon Mine",7084,71,1997
"Genwal Resources Inc","Crandall Canyon Mine",13754,117,1998
"Genwal Resources Inc","Crandall Canyon Mine",11424,102,1999
"Genwal Resources Inc","Crandall Canyon Mine",14195,69,2000
"Genwal Resources Inc","Crandall Canyon Mine",19167,71,2001
"Genwal Resources Inc","Crandall Canyon Mine",5764,52,2002
"Genwal Resources Inc","Crandall Canyon Mine",38323,157,2003
"Genwal Resources Inc","Crandall Canyon Mine",83741,138,2004
"Genwal Resources Inc","Crandall Canyon Mine",22334,69,2005
"Genwal Resources Inc","Crandall Canyon Mine",43956,81,2006
"Genwal Resources Inc","Crandall Canyon Mine",25266.3,32,2007
"Genwal Resources Inc","Crandall Canyon Mine",949827,21,2008
"Independent Contractor Service","Crandall Canyon Mine",138,2,1999
"Independent Contractor Service","Crandall Canyon Mine",55,1,2001
"Kerwin Jensen Trucking Company","Crandall Canyon Mine",NULL,6,1985
"Nielson Construction Co","Crandall Canyon Mine",150,3,1997
"Nielson Construction Co","Crandall Canyon Mine",1400,1,1998
"Nielson Construction Co","Crandall Canyon Mine",195,2,2004
"Rocky Mountain Miners","Crandall Canyon Mine",406,3,1998
"Savage Services Corporation","Crandall Canyon Mine",NULL,1,1990
"Savage Services Corporation","Crandall Canyon Mine",NULL,8,1991
"Savage Services Corporation","Crandall Canyon Mine",NULL,16,1992
"Savage Services Corporation","Crandall Canyon Mine",NULL,1,1993
"Savage Services Corporation","Crandall Canyon Mine",1600,1,1998
"Savage Services Corporation","Crandall Canyon Mine",196,1,2003
"T I C-The Industrial Company","Crandall Canyon Mine",50,1,1998
"Vulcon Inc","Crandall Canyon Mine",55,1,1999
