"violator_name","mine_name","total_penalties","num_violations","iss_year"
"Clover Fork Trucking","Darby Mine No 1",120,2,2003
"Clover Fork Trucking","Darby Mine No 1",120,2,2004
"Jericol Mining Inc","Darby Mine No 1",545,7,2001
"Kentucky Darby Llc","Darby Mine No 1",1480,15,2001
"Kentucky Darby Llc","Darby Mine No 1",4281,51,2002
"Kentucky Darby Llc","Darby Mine No 1",7005,39,2003
"Kentucky Darby Llc","Darby Mine No 1",4836,55,2004
"Kentucky Darby Llc","Darby Mine No 1",7116,71,2005
"Kentucky Darby Llc","Darby Mine No 1",47314,93,2006
"Kentucky Darby Llc","Darby Mine No 1",455649,43,2007
