"violator_name","mine_name","total_penalties","num_violations","iss_year"
"Blue Square Ii","No 5 Mine",NULL,2,1991
"Cowin & Company, Inc.","No 5 Mine",NULL,2,1986
"Cowin & Company, Inc.","No 5 Mine",NULL,3,1987
"Cowin & Company, Inc.","No 5 Mine",NULL,1,1988
"Cowin & Company, Inc.","No 5 Mine",NULL,1,1993
"Cowin & Company, Inc.","No 5 Mine",NULL,2,1994
"Cowin & Company, Inc.","No 5 Mine",9200.00,22,1995
"Cowin & Company, Inc.","No 5 Mine",50.00,2,1996
"Cowin & Company, Inc.","No 5 Mine",315.00,4,1999
"Cowin & Company, Inc.","No 5 Mine",607.00,7,2000
"Cowin & Company, Inc.","No 5 Mine",207.00,1,2001
"E & S Trucking Company Inc","No 5 Mine",NULL,10,1994
"G B (Boots) Smith Trucking Inc","No 5 Mine",NULL,4,1986
"Haynes Trucking, Inc.","No 5 Mine",60.00,1,2003
"J & J Metal & Salvage","No 5 Mine",353.00,5,2006
"Jim Walter Resources Inc","No 5 Mine",NULL,119,1982
"Jim Walter Resources Inc","No 5 Mine",NULL,103,1983
"Jim Walter Resources Inc","No 5 Mine",NULL,339,1984
"Jim Walter Resources Inc","No 5 Mine",NULL,355,1985
"Jim Walter Resources Inc","No 5 Mine",NULL,302,1986
"Jim Walter Resources Inc","No 5 Mine",NULL,371,1987
"Jim Walter Resources Inc","No 5 Mine",NULL,380,1988
"Jim Walter Resources Inc","No 5 Mine",NULL,288,1989
"Jim Walter Resources Inc","No 5 Mine",NULL,309,1990
"Jim Walter Resources Inc","No 5 Mine",NULL,417,1991
"Jim Walter Resources Inc","No 5 Mine",NULL,365,1992
"Jim Walter Resources Inc","No 5 Mine",NULL,466,1993
"Jim Walter Resources Inc","No 5 Mine",NULL,499,1994
"Jim Walter Resources Inc","No 5 Mine",147793.00,505,1995
"Jim Walter Resources Inc","No 5 Mine",107551.00,333,1996
"Jim Walter Resources Inc","No 5 Mine",46053.00,284,1997
"Jim Walter Resources Inc","No 5 Mine",59704.00,382,1998
"Jim Walter Resources Inc","No 5 Mine",109738.00,604,1999
"Jim Walter Resources Inc","No 5 Mine",82072.00,524,2000
"Jim Walter Resources Inc","No 5 Mine",104938.00,426,2001
"Jim Walter Resources Inc","No 5 Mine",76472.00,483,2002
"Jim Walter Resources Inc","No 5 Mine",55053.10,457,2003
"Jim Walter Resources Inc","No 5 Mine",96624.00,405,2004
"Jim Walter Resources Inc","No 5 Mine",70762.20,282,2005
"Jim Walter Resources Inc","No 5 Mine",37397.00,136,2006
"Osborn Coal Entrprises Inc","No 5 Mine",NULL,1,1991
"P I W Inc","No 5 Mine",8100.00,1,1997
"Piw Inc","No 5 Mine",221.00,3,1997
"Piw Inc","No 5 Mine",102.00,1,1998
"Piw Inc","No 5 Mine",55.00,1,2001
"Price Construction Company, Inc.","No 5 Mine",NULL,2,1989
"Price Construction Company, Inc.","No 5 Mine",50.00,1,1997
"Stephen R Estis Trucking Co","No 5 Mine",NULL,2,1994
"Tractor & Equipment Company (T&E)","No 5 Mine",NULL,1,1993
"Tractor & Equipment Company (T&E)","No 5 Mine",170.00,3,1997
"Tractor & Equipment Company (T&E)","No 5 Mine",101.00,1,2005
"Veyance Industrial Services, Inc.","No 5 Mine",97.00,1,2002
