"estab_name","open_date","site_address","site_city","site_state","site_zip","open_year","standard","gravity","delete_flag","current_penalty","activity_nr"
"AMOCO OIL CO","1976-03-02","2401 5TH AVE SOUTH","Texas City","TX",77590,1976,"19100023 C01","","",700.00,16868051
"AMOCO OIL CO","1976-03-09","2401 5TH AVE SOUTH","Texas City","TX",77590,1976,"19100028 A03","","",60.00,16868085
"AMOCO TEXAS REFINING CO","1979-07-21","2401 5TH AVENUE SOUTH","Texas City","TX",77590,1979,"5A0001","","",500.00,16279317
"AMOCO TEXAS REFINING CO","1979-08-23","2401 5TH AVE SOUTH","Texas City","TX",77590,1979,"5A0001","","",630.00,16283061
"PASADENA TANK CORP","1983-11-18","2401 5TH AVE SOUTH","Texas City","TX",77590,1983,"19260550 A05","","",150.00,16839300
"GULF STATES UTILITIES","1991-07-10","2401 5TH AVENUE SOUTH","TEXAS CITY","TX",77596,1991,"19260059 H02   IV","02","X",1500.00,107613705
"BROWN & ROOT INDUSTRIAL SERVICES INC","1991-10-17","2401 5TH AVE S.","TEXAS CITY","TX",77592,1991,"19100111 D07",10,"",2125.00,100754480
"BROWN & ROOT INDUSTRIAL SERVICES INC","1991-10-17","2401 5TH AVE S.","TEXAS CITY","TX",77592,1991,"19100176 F","00","","",100754480
"BROWN & ROOT INDUSTRIAL SERVICES INC","1991-10-28","2401 5TH AVE S.","TEXAS CITY","TX",77592,1991,"19260150 C01 VIII","01","",1050.00,107617920
"BROWN & ROOT INDUSTRIAL SERVICES INC","1991-10-28","2401 5TH AVE S.","TEXAS CITY","TX",77592,1991,"19260405 G01    I","02","",1750.00,107617920
"BROWN & ROOT INDUSTRIAL SERVICES INC","1991-10-28","2401 5TH AVE S.","TEXAS CITY","TX",77592,1991,"19101200 G08","01","","",108765728
"BROWN & ROOT INDUSTRIAL SERVICES INC","1992-10-20","2401 5TH AVE S.","TEXAS CITY","TX",77592,1992,"19260020 B02","03","",550.00,123644056
"BROWN & ROOT INDUSTRIAL SERVICES INC","1994-03-10","2401 5TH AVE S.","TEXAS CITY","TX",77592,1994,"19100165 B02","01","",675.00,123652729
"GULF STATES UTILITIES","1995-08-10","2401 5TH AVENUE SOUTH","TEXAS CITY","TX",77596,1995,"19260095 A",10,"","",123574832
"ALTAIRSTRICKLAND","1996-05-13","2401 5TH STREET AVENUE S","TEXAS CITY","TX",77592,1996,"19260451 A13",10,"X",4500.00,116260647
"ALTAIRSTRICKLAND","1996-05-13","2401 5TH STREET AVENUE S","TEXAS CITY","TX",77592,1996,"19260020 B01","04","X","",116260647
"ALTAIRSTRICKLAND","1996-05-13","2401 5TH STREET AVENUE S","TEXAS CITY","TX",77592,1996,"19260021 B02",10,"X","",116260647
"HYDROCHEM INDUSTRIAL SERVICES INC","1997-01-16","2401 5TH AVE S","TEXAS CITY","TX",77592,1997,"19100038 A05  III","02","X","",116265448
