"controller_name","violator_name","mine_name","current_assessment_amt","iss_dt","inspection_begin_dt","violation_occur_dt","fiscal_yr","fiscal_qtr","iss_year","likelihood","inj_illness","negligence"
"Massey Energy Company","Performance Coal Company","Upper Big Branch Mine-South",50.00,"1995-09-20","1995-07-03","1995-09-20",1995,4,1995,"Unlikely","NoLostDays","LowNegligence"
"Massey Energy Company","Performance Coal Company","Upper Big Branch Mine-South",189.00,"1995-06-02","1995-05-19","1995-06-02",1995,3,1995,"Reasonably","LostDays","ModNegligence"
"Massey Energy Company","Performance Coal Company","Upper Big Branch Mine-South",50.00,"1995-10-19","1995-10-19","1995-10-19",1996,1,1995,"Unlikely","LostDays","ModNegligence"
"Massey Energy Company","Performance Coal Company","Upper Big Branch Mine-South",50.00,"1995-09-25","1995-07-03","1995-09-25",1995,4,1995,"Unlikely","NoLostDays","ModNegligence"
"Massey Energy Company","Performance Coal Company","Upper Big Branch Mine-South",50.00,"1995-10-31","1995-10-24","1995-10-31",1996,1,1995,"Unlikely","NoLostDays","ModNegligence"
"Massey Energy Company","Performance Coal Company","Upper Big Branch Mine-South",178.00,"1995-09-14","1995-07-03","1995-09-14",1995,4,1995,"Reasonably","LostDays","ModNegligence"
"Massey Energy Company","Performance Coal Company","Upper Big Branch Mine-South",50.00,"1995-12-06","1995-10-24","1995-12-06",1996,1,1995,"Unlikely","NoLostDays","ModNegligence"
"Massey Energy Company","Performance Coal Company","Upper Big Branch Mine-South",50.00,"1995-04-30","1995-04-11","1995-04-30",1995,3,1995,"Unlikely","NoLostDays","ModNegligence"
"Massey Energy Company","Performance Coal Company","Upper Big Branch Mine-South",50.00,"1995-05-09","1995-04-11","1995-05-09",1995,3,1995,"Unlikely","Fatal","ModNegligence"
"Massey Energy Company","Performance Coal Company","Upper Big Branch Mine-South",50.00,"1995-09-08","1995-07-03","1995-09-08",1995,4,1995,"Unlikely","NoLostDays","ModNegligence"
"Massey Energy Company","Performance Coal Company","Upper Big Branch Mine-South",50.00,"1995-04-18","1995-04-18","1995-04-18",1995,3,1995,"Unlikely","LostDays","LowNegligence"
"Massey Energy Company","Performance Coal Company","Upper Big Branch Mine-South",119.00,"1995-02-05","1995-01-03","1995-02-05",1995,2,1995,"Reasonably","LostDays","ModNegligence"
"Massey Energy Company","Performance Coal Company","Upper Big Branch Mine-South",119.00,"1995-02-05","1995-01-03","1995-02-05",1995,2,1995,"Reasonably","LostDays","ModNegligence"
