"controller_name","violator_name","mine_name","total_penalties","num_violations","iss_year"
"","Carlisa Trucking","Upper Big Branch Mine-South",60,1,1995
"","Better Coal Design & Equip Inc","Upper Big Branch Mine-South",60,1,1996
"","Powell Construction Co","Upper Big Branch Mine-South",63,1,1996
"","Western Colorado Electric Co","Upper Big Branch Mine-South",162,2,1996
"","Lane Trucking Company","Upper Big Branch Mine-South",132,2,2000
"","S & T Trucking Inc","Upper Big Branch Mine-South",66,1,2000
"","4-Way Trucking Inc","Upper Big Branch Mine-South",90,1,2001
"","American Electric Equipment In","Upper Big Branch Mine-South",55,1,2001
"","Classic Conveyor Components Inc","Upper Big Branch Mine-South",55,1,2001
"","H G Carte Electric Inc","Upper Big Branch Mine-South",201,1,2002
"","Black Diamond Construction Inc","Upper Big Branch Mine-South",200,2,2009
"","M G C Inc","Upper Big Branch Mine-South",212,2,2010
"","Security Group Servicesllc","Upper Big Branch Mine-South",100,1,2010
"","David Stanley Consultants LLC","Upper Big Branch Mine-South",1760,3,2011
"","DQ Fire & Explosion Consultants Inc","Upper Big Branch Mine-South",1000,1,2011
"","Fairchild International","Upper Big Branch Mine-South",2000,1,2011
"","Mountaineer Labor Solution","Upper Big Branch Mine-South",138,1,2011
"Alpha Natural Resources, Inc.","PCC MEC et al","Upper Big Branch Mine-South",78893,2,2011
"Alpha Natural Resources, Inc.","Performance Coal Company","Upper Big Branch Mine-South",103645,48,2011
"Alpha Natural Resources, Inc.","Performance Coal Company","Upper Big Branch Mine-South",2524,8,2012
"James C  Justice II","Kentucky Fuel Corporation","Upper Big Branch Mine-South",100,1,2013
"Massey Energy Company","Performance Coal Company","Upper Big Branch Mine-South",5456,59,1995
"Massey Energy Company","Performance Coal Company","Upper Big Branch Mine-South",19851,141,1996
"Massey Energy Company","Performance Coal Company","Upper Big Branch Mine-South",20984,149,1997
"Massey Energy Company","Performance Coal Company","Upper Big Branch Mine-South",54805,169,1998
"Massey Energy Company","Performance Coal Company","Upper Big Branch Mine-South",22948,112,1999
"Massey Energy Company","Performance Coal Company","Upper Big Branch Mine-South",54277,238,2000
"Massey Energy Company","Performance Coal Company","Upper Big Branch Mine-South",44913,141,2001
"Massey Energy Company","Performance Coal Company","Upper Big Branch Mine-South",60806,201,2002
"Massey Energy Company","Performance Coal Company","Upper Big Branch Mine-South",41040.1,166,2003
"Massey Energy Company","Performance Coal Company","Upper Big Branch Mine-South",47341,222,2004
"Massey Energy Company","Performance Coal Company","Upper Big Branch Mine-South",27889,127,2005
"Massey Energy Company","Performance Coal Company","Upper Big Branch Mine-South",179614,161,2006
"Massey Energy Company","Performance Coal Company","Upper Big Branch Mine-South",232663,264,2007
"Massey Energy Company","Performance Coal Company","Upper Big Branch Mine-South",225869,186,2008
"Massey Energy Company","Performance Coal Company","Upper Big Branch Mine-South",888773,498,2009
"Massey Energy Company","Performance Coal Company","Upper Big Branch Mine-South",1140319,869,2010
"Massey Energy Company","PCC MEC et al","Upper Big Branch Mine-South",10719626,364,2011
"Massey Energy Company","Performance Coal Company","Upper Big Branch Mine-South",1193451,266,2011
