mine_id,date,last_yr_viols,last_yr_penals,avg_last_3yr_viols,avg_last_3yr_penals,ratio_viols,ratio_penals,accident_label
4608791, 2000-1-01,18,1155,6,385,3,3,0
4608791, 2000-2-01,18,1155,6,385,3,3,0
4608791, 2000-3-01,25,1663,8.33,554.33,3.00120048,3.00001804,0
4608791, 2000-4-01,25,1663,8.33,554.33,3.00120048,3.00001804,0
4608791, 2000-5-01,25,1663,8.33,554.33,3.00120048,3.00001804,0
4608791, 2000-6-01,28,1828,9.33,609.33,3.001071811,3.000016411,0
4608791, 2000-7-01,28,1828,9.33,609.33,3.001071811,3.000016411,0
4608791, 2000-8-01,28,1828,9.33,609.33,3.001071811,3.000016411,0
4608791, 2000-9-01,30,2023,10,674.33,3,3.00001483,0
4608791, 2000-10-01,30,2023,10,674.33,3,3.00001483,0
4608791, 2000-11-01,23,1568,10,674.33,2.3,2.32527101,0
4608791, 2001-1-01,31,2559,13.33,1045,2.325581395,2.448803828,0
4608791, 2001-2-01,36,3010,18,1388.33,2,2.168072432,0
4608791, 2001-3-01,45,9111,21,3422,2.142857143,2.662478083,0
4608791, 2001-4-01,44,9778,23,3813.67,1.913043478,2.563934478,0
4608791, 2001-5-01,47,10049,24,3904,1.958333333,2.574026639,0
4608791, 2001-6-01,52,10324,25.67,3995.67,2.025710947,2.58379696,0
4608791, 2001-7-01,51,10269,26.33,4032.33,1.936954045,2.546666567,0
4608791, 2001-8-01,73,14001,33.67,5276.33,2.168102168,2.653548963,0
4608791, 2001-9-01,80,16952,36,6260,2.222222222,2.70798722,0
4608791, 2001-10-01,78,16757,36,6260,2.166666667,2.676837061,0
4608791, 2001-11-01,93,18485,41,6836,2.268292683,2.704066706,0
4608791, 2002-1-01,106,19278,48,7406,2.208333333,2.603024575,0
4608791, 2002-2-01,122,20249,54,7794.67,2.259259259,2.597800805,0
4608791, 2002-3-01,123,20268,59,8144.33,2.084745763,2.4886025,0
4608791, 2002-4-01,114,14167,59,8144.33,1.93220339,1.739492383,0
4608791, 2002-5-01,108,12992,59,8144.33,1.830508475,1.595220233,0
4608791, 2002-6-01,105,12721,59,8144.33,1.779661017,1.56194555,0
4608791, 2002-7-01,100,12446,59,8144.33,1.694915254,1.528179727,0
4608791, 2002-8-01,98,12336,59,8144.33,1.661016949,1.514673399,0
4608791, 2002-9-01,76,8604,59,8144.33,1.288135593,1.056440493,0
4608791, 2002-10-01,69,5653,59,8144.33,1.169491525,0.694102523,0
4608791, 2002-11-01,69,5653,56.67,7992.67,1.217575437,0.707273039,0
4608791, 2003-1-01,41,3081,56,7952.33,0.732142857,0.38743362,0
4608791, 2003-2-01,33,2215,53,7759.33,0.622641509,0.285462791,0
4608791, 2003-3-01,15,1049,53,7759.33,0.283018868,0.135192085,0
