mine_id,date,last_yr_viols,last_yr_penals,avg_last_3yr_viols,avg_last_3yr_penals,accident_label
4608791, 2000-11-01,308,20420,104.98,6958.3,0
4608791, 2001-11-01,710,138247,334,52493.33,0
4608791, 2002-11-01,1166,152971,689.67,96492.31,0
4608791, 2003-11-01,89,6345,610.69,91320.99,0
4608791, 2004-11-01,328,55434,514.01,70556.34,0
4608791, 2005-11-01,1482,434537,613,162563.68,0
4608791, 2006-11-01,3255,1448591,1594.69,607519.99,1
4608791, 2007-11-01,2024,1352052,2100.33,1014555.02,0
4608791, 2008-11-01,813,970164,1919.01,1181507.32,0
4608791, 2009-11-01,987,252394,1229.35,807108,0
4608791, 2010-11-01,156,39219,618.33,411768.33,0
4608791, 2011-11-01,0,0,360.66,92093.33,0
4608791, 2012-11-01,0,0,51.99,13073,0
