mine_id,date,last_yr_viols,last_yr_penals,avg_last_3yr_viols,avg_last_3yr_penals,accident_label
4608791, 2000-11-01,278,18397,94.98,6283.97,0
4608791, 2001-11-01,630,121295,298,46233.33,0
4608791, 2002-11-01,1090,144367,630.67,88347.98,0
4608791, 2003-11-01,89,6345,561.02,83785.99,0
4608791, 2004-11-01,282,48200,473.34,65277.01,0
4608791, 2005-11-01,1321,378172,545,141467.68,0
4608791, 2006-11-01,2969,1319227,1443.02,549652.66,1
4608791, 2007-11-01,1889,1211324,1924,913971.35,0
4608791, 2008-11-01,767,948589,1771.01,1086499.99,0
4608791, 2009-11-01,902,230412,1143.68,746878,0
4608791, 2010-11-01,156,39219,576,398118,0
4608791, 2011-11-01,0,0,332.33,84766,0
4608791, 2012-11-01,0,0,51.99,13073,0
4608791, 2013-11-01,0,0,0,0,0
4608791, 2014-11-01,0,0,0,0,0
4608791, 2015-11-01,0,0,0,0,0
4608594, 2000-11-01,406,33981,492.66,37363.68,0
4608594, 2001-11-01,4,628,280.68,22234.34,0
4608594, 2002-11-01,0,0,136.01,11431.66,0
4608594, 2003-11-01,0,0,1.34,209.34,0
4608594, 2004-11-01,0,0,0,0,0
4608594, 2005-11-01,0,0,0,0,0
4608594, 2006-11-01,0,0,0,0,0
4608594, 2007-11-01,0,0,0,0,0
4608594, 2008-11-01,0,0,0,0,0
4608594, 2009-11-01,0,0,0,0,0
4608594, 2010-11-01,0,0,0,0,0
4608594, 2011-11-01,0,0,0,0,0
4608594, 2012-11-01,0,0,0,0,0
4608594, 2013-11-01,0,0,0,0,0
4608594, 2014-11-01,0,0,0,0,0
4608594, 2015-11-01,0,0,0,0,0
4608436, 2000-11-01,2065,397733,1803.66,405775.68,0
4608436, 2001-11-01,2518,677446,2026.99,523038.34,2
4608436, 2002-11-01,2051,625721,2089.66,536787.33,2
4608436, 2003-11-01,2049,546699.9,2093.34,581504.29,1
4608436, 2004-11-01,2466,548031.3,2073,541015.38,0
4608436, 2005-11-01,2217,471701,2117.67,494850.37,1
4608436, 2006-11-01,1947,1130792,2100.67,694423.77,0
4608436, 2007-11-01,2284,2064978,2055.32,1156100.33,0
4608436, 2008-11-01,2813,3030507,2213.33,1953001.67,0
4608436, 2009-11-01,3772,5806094,2830.33,3502853.33,0
4608436, 2010-11-01,6691,11721498,4212.65,6485656.01,1
4608436, 2011-11-01,10414,18053335,6524.66,11193824.32,0
4608436, 2012-11-01,5894,124733912,7262.66,50704768.66,0
4608436, 2013-11-01,402,10745207,5312.99,47166949.01,0
4608436, 2014-11-01,6,600,1973,41580667,0
4608436, 2015-11-01,0,0,135.67,3581902.31,0
4601437, 2000-11-01,5645,1687936,5666,1944979.01,1
4601437, 2001-11-01,7385,2249038,6018.01,2076326.35,1
4601437, 2002-11-01,9760,3623689,7198.34,2392510.67,0
4601437, 2003-11-01,8025,3030979,7927.66,2803673.34,1
4601437, 2004-11-01,9054,4976712,8516.33,3709352.67,2
4601437, 2005-11-01,12165,4613695,9262.67,3963291.67,0
4601437, 2006-11-01,10465,3875095,10021.33,4246757.01,0
4601437, 2007-11-01,12556,6452312,11126.67,4752875.5,1
4601437, 2008-11-01,13048,15753286,11348.67,8285616.5,2
4601437, 2009-11-01,11739,18980009,11823.68,13078145.32,0
4601437, 2010-11-01,12599,21664683,11867.01,17710344.99,0
4601437, 2011-11-01,9322,6639053,10627,14836004,0
4601437, 2012-11-01,8880,9242935.8,9749.66,12060695.27,0
4601437, 2013-11-01,9121,5732381.2,8659.67,6800211.34,1
4601437, 2014-11-01,10364,8493019,8991.99,7498301.67,0
4601437, 2015-11-01,11434,12129531,9756,8333561.4,2
4201715, 2000-11-01,1241,156544,1186.68,146141.01,0
4201715, 2001-11-01,910,212088,1082.32,167261,0
4201715, 2002-11-01,766,179728,920.66,171380.33,0
4201715, 2003-11-01,1492,292363,1017.32,219609.33,0
4201715, 2004-11-01,1688,696509,1253.33,375963.35,0
4201715, 2005-11-01,1077,594861,1323.33,488477,0
4201715, 2006-11-01,907,307912,1155.67,498742.32,0
4201715, 2007-11-01,794,508274.4,883,454776.13,1
4201715, 2008-11-01,310,4402203.2,632.34,1716068.1,0
4201715, 2009-11-01,169,8397840,402.01,4071541.1,0
4201715, 2010-11-01,0,0,152.32,3916738.73,0
4201715, 2011-11-01,0,0,56.31,2799279.98,0
4201715, 2012-11-01,0,0,0,0,0
4201715, 2013-11-01,0,0,0,0,0
4201715, 2014-11-01,0,0,0,0,0
4201715, 2015-11-01,0,0,0,0,0
1202215, 2000-11-01,176,135933,58.66,45311.01,1
1202215, 2001-11-01,1879,321146,667.34,143589.34,1
1202215, 2002-11-01,4193,771245,1975,389828.32,0
1202215, 2003-11-01,3983,705935,3156.66,566105.33,2
1202215, 2004-11-01,3129,823669,3581,728239.67,0
1202215, 2005-11-01,4666,1359946,3754.66,920323.98,0
1202215, 2006-11-01,4027,1450012,3726.67,1152742.33,1
1202215, 2007-11-01,5335,3024550,4440.66,1859173.33,1
1202215, 2008-11-01,7646,8254286,5386.33,4040983.66,1
1202215, 2009-11-01,6845,7982021,6232.66,6037001.67,0
1202215, 2010-11-01,5107,5646164,6192.33,6894598.35,1
1202215, 2011-11-01,6255,6375950.75,5785.32,6367440.25,0
1202215, 2012-11-01,4073,6065221.25,4873.33,5748234.74,0
1202215, 2013-11-01,3034,3184553,4245.67,4924366.74,0
1202215, 2014-11-01,2886,1951208,3180.67,3555783.09,1
1202215, 2015-11-01,2548,1982421,2679.34,2270989.32,0
