"parent","year","total_penalties","num_violations","num_inspections","avg_gravity","viols_per_inspection","penalty_per_inspection"
"Berkshire Hathaway",1972,55.00,1,1,NULL,1.00,55.00
"Berkshire Hathaway",1973,75.00,10,7,NULL,1.43,10.71
"Berkshire Hathaway",1974,1015.00,32,12,NULL,2.67,84.58
"Berkshire Hathaway",1975,705.00,67,10,NULL,6.70,70.50
"Berkshire Hathaway",1976,165.00,45,16,NULL,2.81,10.31
"Berkshire Hathaway",1977,200.00,1,1,NULL,1.00,200.00
"Berkshire Hathaway",1978,3060.00,12,1,NULL,12.00,3060.00
"Berkshire Hathaway",1979,450.00,14,4,NULL,3.50,112.50
"Berkshire Hathaway",1980,840.00,21,7,NULL,3.00,120.00
"Berkshire Hathaway",1981,540.00,5,3,NULL,1.67,180.00
"Berkshire Hathaway",1982,580.00,14,6,NULL,2.33,96.67
"Berkshire Hathaway",1983,1080.00,38,11,NULL,3.45,98.18
"Berkshire Hathaway",1984,1290.00,54,12,NULL,4.50,107.50
"Berkshire Hathaway",1985,160.00,27,10,NULL,2.70,16.00
"Berkshire Hathaway",1986,945.00,20,13,NULL,1.54,72.69
"Berkshire Hathaway",1987,920.00,82,12,NULL,6.83,76.67
"Berkshire Hathaway",1988,17860.00,88,24,4.58,3.67,744.17
"Berkshire Hathaway",1989,29128.00,113,20,6.90,5.65,1456.40
"Berkshire Hathaway",1990,7409.00,40,21,5.50,1.90,352.81
"Berkshire Hathaway",1991,159585.00,326,30,5.02,10.87,5319.50
"Berkshire Hathaway",1992,27244.50,135,16,2.88,8.44,1702.78
"Berkshire Hathaway",1993,15680.00,57,18,1.38,3.17,871.11
"Berkshire Hathaway",1994,127795.00,144,22,3.28,6.55,5808.86
"Berkshire Hathaway",1995,27900.00,51,20,2.74,2.55,1395.00
"Berkshire Hathaway",1996,1821720.00,84,21,6.39,4.00,86748.57
"Berkshire Hathaway",1997,20386.00,38,35,2.08,1.09,582.46
"Berkshire Hathaway",1998,67847.50,85,39,2.98,2.18,1739.68
"Berkshire Hathaway",1999,62865.00,77,24,5.91,3.21,2619.38
"Berkshire Hathaway",2000,72821.50,142,40,2.27,3.55,1820.54
"Berkshire Hathaway",2001,139466.00,97,37,3.18,2.62,3769.35
"Berkshire Hathaway",2002,202658.00,113,33,4.08,3.42,6141.15
"Berkshire Hathaway",2003,52413.50,80,43,1.82,1.86,1218.92
"Berkshire Hathaway",2004,72475.00,119,44,2.30,2.70,1647.16
"Berkshire Hathaway",2005,73519.50,125,46,1.95,2.72,1598.25
"Berkshire Hathaway",2006,44755.00,67,49,4.85,1.37,913.37
"Berkshire Hathaway",2007,106504.80,137,41,3.02,3.34,2597.68
"Berkshire Hathaway",2008,130087.50,159,47,5.27,3.38,2767.82
"Berkshire Hathaway",2009,74510.00,83,49,3.90,1.69,1520.61
"Berkshire Hathaway",2010,182982.50,146,47,5.41,3.11,3893.24
"Berkshire Hathaway",2011,274035.50,172,52,5.44,3.31,5269.91
"Berkshire Hathaway",2012,214222.50,120,49,5.55,2.45,4371.89
"Berkshire Hathaway",2013,177039.20,105,37,6.40,2.84,4784.84
"Berkshire Hathaway",2014,155425.50,63,30,6.05,2.10,5180.85
"Berkshire Hathaway",2015,505523.75,123,46,6.38,2.67,10989.65
"Berkshire Hathaway",2016,30587.50,14,8,4.75,1.75,3823.44
"BP",1973,1320.00,41,6,NULL,6.83,220.00
"BP",1974,1105.00,19,7,NULL,2.71,157.86
"BP",1975,885.00,11,6,NULL,1.83,147.50
"BP",1976,1180.00,11,5,NULL,2.20,236.00
"BP",1977,1000.00,5,4,NULL,1.25,250.00
"BP",1978,0.00,1,2,NULL,0.50,0.00
"BP",1979,1525.00,12,7,NULL,1.71,217.86
"BP",1980,500.00,2,7,NULL,0.29,71.43
"BP",1981,0.00,4,6,NULL,0.67,0.00
"BP",1982,360.00,8,2,NULL,4.00,180.00
"BP",1983,0.00,3,6,NULL,0.50,0.00
"BP",1984,NULL,0,3,NULL,0.00,NULL
"BP",1985,NULL,0,1,NULL,0.00,NULL
"BP",1986,NULL,0,1,NULL,0.00,NULL
"BP",1987,400.00,2,2,NULL,1.00,200.00
"BP",1988,700.00,10,7,2.00,1.43,100.00
"BP",1989,600.00,6,2,5.50,3.00,300.00
"BP",1990,1200.00,8,5,3.29,1.60,240.00
"BP",1991,NULL,0,1,NULL,0.00,NULL
"BP",1993,NULL,0,4,NULL,0.00,NULL
"BP",1994,42975.00,14,3,7.75,4.67,14325.00
"BP",1995,21700.00,6,2,10.00,3.00,10850.00
"BP",1996,1500.00,1,1,10.00,1.00,1500.00
"BP",1997,NULL,0,2,NULL,0.00,NULL
"BP",1998,750.00,1,1,2.00,1.00,750.00
"BP",2000,450.00,1,3,NULL,0.33,150.00
"BP",2002,7900.00,6,3,10.00,2.00,2633.33
"BP",2003,485.00,2,3,1.00,0.67,161.67
"BP",2004,117125.00,13,6,8.77,2.17,19520.83
"BP",2005,23784372.50,399,24,9.88,16.63,991015.52
"BP",2006,2342.50,8,19,1.80,0.42,123.29
"BP",2007,105257.50,20,12,6.25,1.67,8771.46
"BP",2008,28000.00,10,6,7.75,1.67,4666.67
"BP",2009,14638825.00,433,7,9.93,61.86,2091260.71
"BP",2010,90235.00,36,7,3.33,5.14,12890.71
"BP",2011,43500.00,6,5,10.00,1.20,8700.00
"BP",2012,75100.00,8,6,10.00,1.33,12516.67
"BP",2013,13000.00,2,1,NULL,2.00,13000.00
"BP",2014,5000.00,3,1,5.00,3.00,5000.00
"EXXON MOBIL CORP",1975,NULL,0,1,NULL,0.00,NULL
"EXXON MOBIL CORP",1977,NULL,0,1,NULL,0.00,NULL
"EXXON MOBIL CORP",1986,0.00,2,1,NULL,2.00,0.00
"EXXON MOBIL CORP",1987,500.00,1,1,NULL,1.00,500.00
"EXXON MOBIL CORP",1988,NULL,0,4,NULL,0.00,NULL
"EXXON MOBIL CORP",1989,1800.00,7,1,10.00,7.00,1800.00
"EXXON MOBIL CORP",1990,NULL,0,1,NULL,0.00,NULL
"EXXON MOBIL CORP",1991,NULL,0,2,NULL,0.00,NULL
"EXXON MOBIL CORP",1994,11500.00,9,3,1.88,3.00,3833.33
"EXXON MOBIL CORP",1995,2500.00,1,5,3.00,0.20,500.00
"EXXON MOBIL CORP",1996,5700.00,2,3,6.50,0.67,1900.00
"EXXON MOBIL CORP",1997,8000.00,6,3,10.00,2.00,2666.67
"EXXON MOBIL CORP",1998,NULL,0,1,NULL,0.00,NULL
"EXXON MOBIL CORP",1999,NULL,0,2,NULL,0.00,NULL
"EXXON MOBIL CORP",2000,13290.00,16,5,NULL,3.20,2658.00
"EXXON MOBIL CORP",2001,NULL,0,1,NULL,0.00,NULL
"EXXON MOBIL CORP",2002,375.00,1,8,NULL,0.13,46.88
"EXXON MOBIL CORP",2003,25325.00,11,11,2.80,1.00,2302.27
"EXXON MOBIL CORP",2004,787.50,1,5,1.00,0.20,157.50
"EXXON MOBIL CORP",2005,NULL,0,3,NULL,0.00,NULL
"EXXON MOBIL CORP",2006,44375.00,13,14,1.70,0.93,3169.64
"EXXON MOBIL CORP",2007,54000.00,14,5,9.50,2.80,10800.00
